Div,Team,ELO,Goals scored,Goals conceded,Goals difference,Points,Change in ELO,Opposition mean ELO,Shots on target attempted,Shots on target allows,Shots attemped,Shots allowed,Corners awarded,Corners allowed,Fouls commited,Fouls suffered,Yellow cards,Red cards
F1,Marseille,1674.4556242467725,9.0,6.0,3.0,10,-1.2752726062844886,1605.0452145875151,26.0,24.0,65.0,46.0,22.0,20.0,61.0,71.0,8.0,1.0
N1,Groningen,1381.8696630948073,3.0,7.0,-4.0,7,-3.478470330024038,1618.5839799931691,23.0,21.0,49.0,64.0,21.0,27.0,38.0,37.0,7.0,0.0
N1,Feyenoord,1826.7325681309806,16.0,6.0,10.0,13,2.343898414704654,1442.939563230406,44.0,17.0,102.0,39.0,50.0,6.0,33.0,61.0,2.0,0.0
N1,Nijmegen,1522.3347785731582,6.0,10.0,-4.0,4,-4.690340562778829,1561.204157040953,33.0,30.0,91.0,61.0,44.0,20.0,57.0,61.0,4.0,0.0
N1,Almere City,1382.9871819626337,2.0,14.0,-12.0,0,-3.1820475707911555,1637.0268043366118,11.0,37.0,41.0,76.0,12.0,30.0,54.0,32.0,7.0,0.0
N1,PSV Eindhoven,1876.528918519008,19.0,4.0,15.0,12,-28.466643437589482,1535.8604078796402,43.0,16.0,93.0,45.0,45.0,21.0,34.0,42.0,6.0,0.0
N1,Sparta Rotterdam,1476.7882149777101,2.0,7.0,-5.0,1,4.690340562778829,1477.8568673267632,20.0,26.0,74.0,56.0,31.0,27.0,59.0,46.0,11.0,0.0
N1,Go Ahead Eagles,1551.934586967085,13.0,7.0,6.0,7,8.67402442216553,1565.510888315645,28.0,22.0,68.0,88.0,17.0,31.0,46.0,47.0,8.0,1.0
N1,Utrecht,1695.5363476068728,12.0,12.0,0.0,8,-8.67402442216553,1625.8611968654052,27.0,22.0,88.0,65.0,27.0,26.0,41.0,52.0,7.0,0.0
N1,Ajax,1722.1338579716487,10.0,5.0,5.0,10,3.1820475707911555,1549.86042507334,21.0,23.0,47.0,67.0,25.0,20.0,67.0,59.0,11.0,0.0
N1,For Sittard,1514.7540698973373,8.0,10.0,-2.0,5,8.544478371884225,1558.9416148575945,22.0,31.0,53.0,78.0,26.0,27.0,52.0,55.0,7.0,0.0
N1,Heerenveen,1521.002687043387,5.0,5.0,0.0,10,28.466643437589482,1622.8035385769854,16.0,18.0,55.0,72.0,18.0,25.0,55.0,42.0,6.0,0.0
N1,Twente,1704.340407989644,10.0,11.0,-1.0,10,3.478470330024038,1610.040238398562,26.0,26.0,73.0,56.0,23.0,21.0,52.0,33.0,6.0,0.0
N1,AZ Alkmaar,1670.5859384016826,8.0,5.0,3.0,12,8.962335934553494,1520.0249245049868,20.0,14.0,82.0,38.0,33.0,11.0,52.0,63.0,7.0,0.0
N1,Waalwijk,1372.2412968066453,7.0,12.0,-5.0,2,-8.544478371884225,1561.3347647441865,21.0,34.0,63.0,84.0,21.0,49.0,41.0,42.0,3.0,1.0
N1,Heracles,1431.1746611492347,6.0,11.0,-5.0,2,-2.343898414704654,1605.4734356122567,19.0,29.0,55.0,79.0,23.0,30.0,65.0,54.0,8.0,0.0
N1,Willem II,1458.9020044813756,6.0,7.0,-1.0,7,20.213537908037097,1475.7791121450032,17.0,18.0,46.0,92.0,17.0,25.0,52.0,41.0,12.0,0.0
N1,Zwolle,1462.1784764797305,4.0,4.0,0.0,7,-20.213537908037097,1515.5639905086564,17.0,20.0,66.0,56.0,21.0,32.0,49.0,70.0,8.0,1.0
N1,NAC Breda,1438.6543774891404,6.0,7.0,-1.0,7,-8.962335934553494,1585.1059798286492,21.0,28.0,48.0,81.0,16.0,37.0,49.0,49.0,11.0,1.0
